NAME,POS,TEAM,GP,MPG,Z_PTS,Z_REB,Z_AST,Z_STL,Z_BLK,Z_X3PM,Z_FG.,Z_FT.,Z_TO,Z_AVG
John Henson,PF/C,MIL,62,18,-0.875,-0.866,-0.584,-0.881,0.949,-0.736,0.181,-0.74,0.539,-0.335
Zaza Pachulia,C,GSW,70,17,-1.046,-0.526,0.018,0.176,-1.202,-0.736,-0.622,0.49,0.393,-0.339
Bobby Portis,PF/C,CHI,64,20,-0.438,-0.261,-0.584,-0.881,-1.202,0.156,-0.782,0.017,0.685,-0.366
Kyle O'Quinn,PF/C,NYK,69,12,-1.198,-1.093,-0.383,-0.881,-0.306,-0.587,-0.301,0.585,0.831,-0.37
Bismack Biyombo,PF/C,ORL,78,20,-1.103,-0.034,-0.785,-1.234,0.77,-0.736,0.502,-1.402,0.685,-0.371
Aron Baynes,C,BOS,70,20,-0.704,-0.375,-0.885,-1.234,-0.664,-0.736,-0.301,0.868,0.539,-0.388
Richaun Holmes,PF/C,PHI,70,12,-1.027,-1.547,-0.885,-0.881,-0.664,0.305,0.342,-0.267,1.123,-0.389
Ed Davis,PF/C,POR,68,18,-1.084,-0.224,-0.584,-0.529,-0.664,-0.736,0.663,-1.402,0.977,-0.398
Meyers Leonard,PF/C,POR,70,18,-0.932,-1.169,-0.383,-1.586,-1.202,0.9,-1.586,1.057,0.977,-0.436
Kenneth Faried,PF/C,DEN,66,14.7,-0.837,-0.677,-0.785,-0.881,-1.023,-0.736,0.342,-0.361,0.977,-0.442
Marreese Speights,PF/C,ORL,70,12,-0.818,-1.358,-0.785,-1.586,-1.023,0.454,-1.264,1.341,0.977,-0.451
JaVale McGee,C,GSW,72,12,-0.761,-1.055,-1.286,-1.234,0.053,-0.736,1.787,-1.875,0.977,-0.459
Timofey Mozgov,C,BKN,70,20,-0.666,-0.639,-0.885,-1.234,-0.485,-0.736,0.021,0.301,0.101,-0.469
Miles Plumlee,PF/C,ATL,62,17.5,-1.179,-0.942,-0.885,-0.176,-0.306,-0.736,0.502,-1.213,0.685,-0.472
Salah Mejri,C,DAL,70,12,-1.578,-1.093,-1.286,-0.881,-0.306,-0.736,1.948,-1.497,1.123,-0.478
Jason Smith,PF/C,WAS,75,14.6,-0.97,-1.471,-0.684,-1.234,-0.664,-0.29,-0.622,0.679,0.831,-0.492
Jahlil Okafor,C,PHI,60,18,-0.058,-1.131,-0.484,-1.234,-0.485,-0.736,-0.14,0.017,-0.191,-0.493
Kosta Koufos,PF/C,SAC,70,18,-1.065,-0.639,-0.885,-0.881,-0.485,-0.736,0.021,-1.118,0.977,-0.535
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
