Player.Name,Position,Team,GP,MIN,Z_PTS,Z_REB,Z_AST,Z_BLK,Z_STL,Z_FGP,Z_FTP,Z_X3PM,Z_TO,Z_AVG,Tier
Kyle O'Quinn,PFC,NYK,82,0,-0.669,-0.079,-0.113,0.851,-0.51,-0.089,0.537,-0.56,-0.074,-0.078,NA
David West,PF,GSW,82,0,-0.796,-0.764,0.048,-0.184,-0.51,1.082,0.425,-0.863,0.677,-0.098,NA
Patrick Patterson,PFC,TOR,77,26.1,-0.76,-0.724,-0.353,-0.598,-0.251,-1.124,1.109,0.8,0.827,-0.119,NA
Larry Nance,PF,LAL,82,0,-0.869,-0.361,-0.673,-0.598,0.524,1.003,-0.361,-0.863,0.827,-0.152,NA
Mirza Teletovic,SFPF,MIL,78,24.3,-0.086,-0.845,-0.433,-0.805,-0.768,-1.046,0.364,1.858,0.377,-0.154,NA
Frank Kaminsky,PFC,CHA,81,24.1,-0.323,-0.402,-0.113,-0.184,-0.251,-1.378,0.2,0.498,0.527,-0.158,NA
Brandon Bass,PFC,LAC,82,0,-0.942,-1.127,-0.673,-0.184,-0.768,1.257,0.598,-0.863,1.277,-0.158,NA
Dario Saric,PF,PHI,76,27.2,-0.049,-0.321,0.448,-0.805,0.007,-0.695,0.221,0.195,-0.524,-0.169,NA
Channing Frye,PFC,CLE,82,0,-0.796,-1.127,-0.673,-0.805,-1.027,-0.773,1.109,1.253,1.277,-0.174,NA
JaMychal Green,PF,MEM,79,20.5,-0.268,-0.079,-0.433,-0.391,0.007,-0.089,0.313,-0.56,-0.074,-0.175,NA
Alex Len,PFC,PHO,77,25.6,-0.049,1.05,-0.353,0.644,-0.51,-0.851,0.057,-0.863,-0.824,-0.189,NA
Nene Hilario,PFC,HOU,68,22.2,-0.286,-0.442,-0.032,-0.391,0.524,0.945,-1.086,-0.863,-0.224,-0.206,NA
Michael Beasley,SFPF,MIL,74,26.6,-0.031,-0.643,-0.593,-0.598,-0.51,0.164,0.711,-0.56,0.076,-0.22,NA
Miles Plumlee,PFC,MIL,82,0,-0.833,-0.442,-0.914,0.644,-0.51,1.979,-1.74,-0.863,0.677,-0.222,NA
Trevor Booker,PF,BKN,82,0,-0.632,0.163,-0.273,-0.391,0.007,0.067,-0.596,-0.56,0.076,-0.238,NA
Meyers Leonard,PFC,POR,82,0,-0.632,-0.563,-0.433,-0.805,-1.544,-0.441,0.915,0.951,0.377,-0.242,NA
Joffrey Lauvergne,PFC,OKC,82,0,-0.851,-0.764,-0.754,-0.805,-1.285,0.613,1.548,-0.711,0.827,-0.242,NA
Quincy Acy,SFPF,DAL,82,0,-1.051,-1.127,-0.914,-0.805,-0.768,0.945,0.425,-0.409,1.127,-0.286,NA
Dwight Powell,PF,DAL,82,0,-0.669,-0.482,-0.754,-0.805,-0.251,0.301,0.016,-0.863,0.827,-0.298,NA
Omri Casspi,SFPF,SAC,78,26.7,-0.377,-0.724,-0.513,-1.219,-0.51,-0.05,-0.504,0.8,0.377,-0.302,NA
Terrence Jones,SFPF,NOR,82,0,-0.45,-0.684,-0.754,0.023,-0.768,-0.324,-0.341,-0.258,0.677,-0.32,NA
Jon Leuer,PFC,DET,82,0,-0.687,-0.563,-0.593,-0.805,-0.768,-0.109,-0.035,-0.107,0.677,-0.332,NA
Tyler Zeller,PFC,BOS,82,0,-0.869,-1.047,-0.754,-0.598,-1.285,0.477,1.089,-0.863,0.827,-0.336,NA
Derrick Williams,SFPF,MIA,82,0,-0.341,-1.006,-0.673,-1.219,-0.768,-0.616,0.19,0.044,0.827,-0.396,NA
