Player.Name,Position,Team,GP,MIN,Z_PTS,Z_REB,Z_AST,Z_BLK,Z_STL,Z_FGP,Z_FTP,Z_X3PM,Z_TO,Z_AVG,Tier
Nene Hilario,PFC,HOU,68,22.2,-0.267,-0.715,0.185,-0.782,0.804,0.287,-0.785,-0.548,-0.19,-0.223,NA
Brandon Bass,PFC,LAC,82,0,-0.953,-1.321,-0.646,-0.62,-0.676,0.563,0.689,-0.548,1.451,-0.229,NA
Dewayne Dedmon,C,SAS,82,0,-1.124,-0.893,-1.27,-0.131,-0.676,0.943,0.332,-0.548,1.123,-0.249,NA
Roy Hibbert,C,CHA,81,21.7,-0.934,-0.822,-0.542,0.52,-0.972,-1.129,1.028,-0.548,0.959,-0.271,NA
Alex Len,PFC,PHO,77,25.6,-0.019,0.605,-0.23,0.031,-0.38,-1.302,0.216,-0.548,-0.847,-0.275,NA
John Henson,PFC,MIL,82,0,-0.8,-1.143,-0.542,0.845,-0.972,1.116,-1.071,-0.548,0.466,-0.294,NA
Miles Plumlee,PFC,MIL,82,0,-0.838,-0.715,-0.958,0.031,-0.38,1.202,-1.357,-0.548,0.795,-0.308,NA
Joffrey Lauvergne,PFC,OKC,82,0,-0.857,-1,-0.75,-1.108,-1.267,-0.007,1.52,-0.336,0.959,-0.316,NA
Festus Ezeli,C,POR,72,0,-0.514,-0.215,-0.75,0.194,-0.676,0.252,-1.375,-0.548,0.631,-0.333,NA
Jon Leuer,PFC,DET,82,0,-0.686,-0.822,-0.542,-1.108,-0.676,-0.646,0.135,0.514,0.795,-0.337,NA
Tiago Splitter,C,ATL,82,0,-1.086,-1.393,-0.646,-1.108,-0.38,0.27,0.43,-0.548,1.123,-0.371,NA
Tyler Zeller,PFC,BOS,82,0,-0.876,-1.25,-0.75,-0.945,-1.267,-0.128,1.118,-0.548,0.959,-0.41,NA
Kris Humphries,PFC,ATL,82,0,-0.876,-1,-0.75,-0.945,-0.972,-1.371,0.653,0.302,1.123,-0.426,NA
Luis Scola,PFC,BKN,82,0,-0.781,-1.107,-0.646,-1.271,-0.676,-1.025,0.18,0.514,0.959,-0.428,NA
Bobby Portis,PFC,CHI,75,17.6,-0.686,-0.501,-0.75,-0.945,-0.676,-1.371,0.144,0.089,0.631,-0.452,NA
Josh McRoberts,PFC,MIA,82,0,-1.181,-1.357,0.809,-1.271,-0.38,-2.044,0.358,0.302,0.631,-0.459,NA
Aron Baynes,C,DET,82,0,-1.105,-1.214,-1.062,-0.945,-1.267,0.097,0.778,-0.548,1.123,-0.46,NA
David Lee,PFC,SAS,82,0,-1.029,-1.286,-0.334,-1.108,-0.972,-0.369,0.492,-0.548,0.959,-0.466,NA
